X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.69016331418555,-33.58079311181263,2013,SAN BERNARDO,CALDERON DE LA BARCA,ALONSO DE MONROY,0,1,0,0,0,0
-70.68977467576065,-33.591446944820575,2013,SAN BERNARDO,SILVIA PINTO,PEDRO SANCHO DE LA HOZ,0,1,0,0,0,1
-70.6887731565559,-33.58529232108374,2013,SAN BERNARDO,PEDRO DE VALDIVIA,FRANCISCO DE CAMARGO,0,1,0,0,0,1
-70.68726670399514,-33.590047316430464,2013,SAN BERNARDO,BALMACEDA,MARINA ORTIZ DE GAETE,0,1,1,0,0,0
-70.6861220999549,-33.58372320016555,2013,SAN BERNARDO,CRISTOBAL DE MOLINA,,13741,0,0,1,0,0
-70.68565881330358,-33.58499210939827,2013,SAN BERNARDO,BARTOLOME DIAZ,PEDRO SANCHO DE LA HOZ,0,1,0,0,0,0
-70.6854105698419,-33.59599743883069,2013,SAN BERNARDO,CHACAO,CHAUQUES,0,1,0,0,0,1
-70.68433678201683,-33.59141288929335,2013,SAN BERNARDO,MARTIN DE SOLIS,BALMACEDA,0,1,0,1,0,1
-70.68289965909196,-33.58921402081034,2013,SAN BERNARDO,SANTA MARTA,MARTIN DE SOLIS,0,1,0,0,1,0
-70.68013319429144,-33.595600234363296,2013,SAN BERNARDO,PADRE HURTADO,PIRINEOS,0,1,0,0,0,1
-70.67969168922002,-33.59372835038301,2013,SAN BERNARDO,PADRE HURTADO,BALMACEDA,0,1,0,0,0,3
-70.6789710201964,-33.59095651393192,2013,SAN BERNARDO,SANTA MARTA,PADRE HURTADO,0,1,1,0,0,2
-70.67556941729475,-33.59452470185346,2013,SAN BERNARDO,BALMACEDA,,1282,0,0,1,0,0
-70.6754662623581,-33.594547895369026,2013,SAN BERNARDO,BALMACEDA,,1222,0,0,1,0,0
-70.6710928700399,-33.58949848176945,2013,SAN BERNARDO,SANTA TERESA,SANTA MERCEDES,0,1,0,1,0,1
-70.68018179815141,-33.582189861472905,2013,SAN BERNARDO,MARTIN DE ROBLEDO,SANTA MARTA,0,1,0,1,0,0
-70.67999779596147,-33.58471740968066,2013,SAN BERNARDO,CALDERON DE LA BARCA,MARTIN DE SOLIS,0,1,0,0,0,1
-70.67931139650369,-33.58349125511729,2013,SAN BERNARDO,MARTIN DE SOLIS,ALONSO ESCUDERO,0,1,0,0,0,1
-70.67765285779313,-33.585553104692,2013,SAN BERNARDO,PADRE HURTADO,,13560,0,0,0,0,1
-70.67670066370465,-33.58244265280616,2013,EL BOSQUE,LOS MORROS,LO BLANCO,0,1,0,1,0,0
-70.67648985812042,-33.581324442968665,2013,EL BOSQUE,LOS MORROS,,11200,0,0,2,0,0
-70.67617313578154,-33.580957492594145,2013,EL BOSQUE,LOS MORROS,LAS PARCELAS,0,1,0,0,0,1
