X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.79850840156078,-33.3644349173973,2015,PUDAHUEL,CAMINO RENCA LAMPA,CAMINO AGUAS CLARAS,0,1,0,1,0,0
-70.79714174590057,-33.35494062977057,2015,QUILICURA,CAMINO LO ECHEVERS,CAMINO PRIVADO,0,1,0,1,0,0
-70.7979441451925,-33.511715797607,2015,MAIPU,EL CONQUISTADOR,SENADORA MARIA DE LA CRUZ,0,1,0,1,0,1
-70.79719873248965,-33.51315144341662,2015,MAIPU,EL CONQUISTADOR,PINTOR HORACIO GARCIA,0,1,0,1,0,0
-70.7970207635969,-33.518600827971625,2015,MAIPU,EL CONQUISTADOR,,1370,0,0,1,0,0
-70.79502169871235,-33.553664212945826,2015,MAIPU,CAMINO A MELIPILLA,,18486,0,0,0,1,0
-70.7936108534216,-33.52604492815787,2015,MAIPU,GERMAN GARCES,,2621,0,0,0,0,2
-70.79240264082891,-33.50871200175025,2015,MAIPU,JOSE MANUEL BORGONO,ESCUELA DE INFANTERIA,0,1,0,0,0,1
-70.79189544135156,-33.524834315584485,2015,MAIPU,NUEVA SAN MARTIN,4 PONIENTE,0,1,0,1,0,0
-70.79138927295672,-33.50550727075833,2015,MAIPU,CAMINO A RINCONADA,4 PONIENTE,0,1,0,0,0,1
-70.79143725581548,-33.52036807394963,2015,MAIPU,CAMPANARIO,4 PONIENTE,0,1,0,0,0,1
-70.79129469553972,-33.519197810580344,2015,MAIPU,PORTALES,4 PONIENTE,0,1,0,0,0,1
-70.79071201440601,-33.512343618839154,2015,MAIPU,INCA DE ORO,4 PONIENTE,0,1,0,0,0,1
-70.79034137887777,-33.50793922212487,2015,MAIPU,VICARIA,4 PONIENTE,0,1,0,0,0,1
-70.78800237300665,-33.542313134223896,2015,MAIPU,RENE OLIVARES BECERRA,,2842,0,0,1,0,0
-70.78662832386765,-33.511645094975016,2015,MAIPU,PANGAL,,2025,0,0,0,0,1
-70.7841838973367,-33.506891820608445,2015,MAIPU,CAMINO A RINCONADA,LAS NACIONES,0,1,1,0,0,0
-70.78379185842604,-33.509819273462234,2015,MAIPU,DE LA GLORIETA,JOSE MANUEL BORGONO,0,1,0,0,0,1
-70.78238512553801,-33.533078667902565,2015,MAIPU,PRESIDENTE GABRIEL GONZALEZ VIDELA,,1969,0,0,0,1,0
-70.78149985713657,-33.5324421213224,2015,MAIPU,OSCAR BONILLA,,1974,0,0,1,0,0
-70.77908607052287,-33.44395658242236,2015,PUDAHUEL,SAN PABLO,AMERICO VESPUCIO,0,1,0,1,0,3
-70.77927717638536,-33.50856759869999,2015,MAIPU,CAMINO A RINCONADA,3 PONIENTE,0,1,0,1,0,0
-70.77911541444163,-33.51328629738506,2015,MAIPU,LOS ZARZALES,3 PONIENTE,0,1,0,0,0,1
-70.77919559262268,-33.53297124080098,2015,MAIPU,ELADIO ROJAS,ALFREDO SILVA CARVALLO,0,1,0,0,0,0
-70.77853578797897,-33.52599184698194,2015,MAIPU,GERMAN GARCES,3 PONIENTE,0,1,0,0,0,1
-70.77800352864803,-33.50892857103377,2015,MAIPU,CAMINO A RINCONADA,3 PONIENTE,0,1,0,2,1,2
-70.77822335685757,-33.54228265508146,2015,MAIPU,CALETERA CAMINO A MELIPILLA,EGIPTO,0,1,1,1,0,0
-70.77567780804536,-33.50679763271416,2015,MAIPU,EL OLIMPO,MAIPU,0,1,0,0,0,1
-70.77557879235286,-33.50880103405928,2015,MAIPU,EL OLIMPO,MEDIALUNA,0,1,0,0,0,1
-70.77546906292534,-33.51291478426262,2015,MAIPU,EL OLIMPO,GRECIA,0,1,0,1,1,2
-70.77544235441977,-33.51529590017226,2015,MAIPU,LAS TINAJAS,EL OLIMPO,0,1,0,0,0,1
-70.77539220120799,-33.51811021171002,2015,MAIPU,PORTALES,EL OLIMPO,0,1,0,0,0,1
-70.77533249771409,-33.521510823780496,2015,MAIPU,EL OLIMPO,SUR,0,1,0,0,1,0
-70.77482640177021,-33.531518944076815,2015,MAIPU,ALFREDO SILVA CARVALLO,3 PONIENTE,0,1,0,0,1,1
-70.77445453516059,-33.53966743943195,2015,MAIPU,CAMINO A MELIPILLA,JACQUES COUSTEAU,0,1,0,0,0,1
-70.77383533135165,-33.53255217076466,2015,MAIPU,RENE OLIVARES BECERRA,3 PONIENTE,0,1,1,0,0,0
-70.77054672273267,-33.43080428395224,2015,PUDAHUEL,EL TRANQUE,SANTA MARTA,0,1,0,0,0,1
-70.76895382570444,-33.44293825001895,2015,PUDAHUEL,SAN PABLO,SERRANO,0,1,0,1,0,0
-70.77044855806011,-33.52488130974062,2015,MAIPU,DEL REY,NUEVA SAN MARTIN,0,1,0,0,0,1
-70.76832496294925,-33.440043413627926,2015,PUDAHUEL,SERRANO,MARTINEZ DE ROZAS,0,1,0,0,1,0
-70.7698596053977,-33.53613507202008,2015,MAIPU,CAMINO A MELIPILLA,3 PONIENTE,0,1,1,1,0,1
-70.76781479565975,-33.43716491575588,2015,PUDAHUEL,CARDENAL JOSE MARIA CARO,,9408,0,0,0,1,1
-70.76846796113473,-33.48575366127345,2015,MAIPU,LAS CAMELIAS,EL ROSAL,0,1,0,0,1,1
-70.76873679664772,-33.499502226672554,2015,MAIPU,BLANCO ENCALADA,DE LA VICTORIA,0,1,0,0,0,1
-70.7687484100145,-33.50218941243696,2015,MAIPU,OHIGGINS,DE LA VICTORIA,0,1,0,0,0,3
-70.76876229111268,-33.505516839381336,2015,MAIPU,DE LA VICTORIA,LIBERTAD,0,1,0,0,0,1
-70.76876229403814,-33.50710399873935,2015,MAIPU,DE LA VICTORIA,MAIPU,0,1,0,1,0,0
-70.76784379622949,-33.48999200041675,2015,MAIPU,LA SINFONIA,LA REFORMA,0,1,0,0,1,1
-70.76647117202266,-33.43296361953627,2015,PUDAHUEL,SERRANO,SAN FRANCISCO,0,1,0,0,0,0
-70.76629687736515,-33.445591364524084,2015,PUDAHUEL,ESPARTA,FIDIAS,0,1,0,0,1,0
-70.76706013713374,-33.49168052404252,2015,MAIPU,CAMINO LA FARFANA,INGENIERO EDUARDO DOMINGUEZ,0,1,0,0,0,1
-70.76515455004129,-33.41946429288346,2015,CERRO NAVIA,SIN CLASIFICACION,SIN CLASIFICACION,0,1,0,0,2,0
-70.76579733419435,-33.45384997984624,2015,PUDAHUEL,SERRANO,LA TRAVESIA,0,1,0,0,0,1
-70.76683198952512,-33.509584433320335,2015,MAIPU,CAMINO A RINCONADA,,773,0,0,0,0,1
-70.76707565353134,-33.52685932743141,2015,MAIPU,LOS DIAMANTES,,176,0,0,0,0,1
-70.7668519411268,-33.515860639333134,2015,MAIPU,HUASCAR,SAN JOSE,0,1,0,0,0,1
-70.76497125585155,-33.44228258807713,2015,PUDAHUEL,SAN PABLO,,9176,0,1,0,0,0
-70.76570582451184,-33.509789870970096,2015,MAIPU,CAMINO A RINCONADA,GENERAL LAS HERAS,0,1,0,0,0,2
-70.76462997792743,-33.45888964419666,2015,PUDAHUEL,LAGUNA SUR,AMERICO VESPUCIO,0,1,0,1,0,2
-70.76411714994879,-33.44206929370468,2015,PUDAHUEL,FEDERICO ERRAZURIZ,SAN PABLO,0,1,0,0,0,1
-70.76369744384456,-33.44418548766314,2015,PUDAHUEL,FEDERICO ERRAZURIZ,AURORA,0,1,0,0,0,1
-70.76474466909329,-33.50910918778358,2015,MAIPU,SAN MARTIN,CHACABUCO,0,1,0,0,0,2
-70.76500229261494,-33.52815141027834,2015,MAIPU,ALFREDO SILVA CARVALLO,ELISEO,0,1,0,0,0,1
-70.76330722232314,-33.44510186101012,2015,PUDAHUEL,FEDERICO ERRAZURIZ,LUCERO,0,1,0,0,0,1
-70.76307685609216,-33.435311536068106,2015,PUDAHUEL,FEDERICO ERRAZURIZ,SAN AGUSTIN,0,1,0,0,0,1
-70.76426997038132,-33.49632847724104,2015,MAIPU,GENERAL BUERAS,GENERAL JOSE SAN MARTIN,0,1,0,0,0,1
-70.76531285473519,-33.549780959995616,2015,MAIPU,4 PONIENTE,,1361,0,0,0,0,1
-70.76418858663561,-33.49868332687529,2015,MAIPU,SAN MARTIN,ARGENTINA,0,1,0,0,0,1
-70.76299846544022,-33.44579162357953,2015,PUDAHUEL,FEDERICO ERRAZURIZ,CREPUSCULO,0,1,0,0,0,0
-70.76409903372158,-33.50169660363059,2015,MAIPU,SAN MARTIN,LIBERTADOR BERNARDO OHIGGINS,0,1,0,0,0,2
-70.76313796675278,-33.463311672196205,2015,PUDAHUEL,LOS MARES,AMERICO VESPUCIO,0,1,0,0,1,0
-70.76211674851895,-33.43038328777844,2015,PUDAHUEL,SAN DANIEL,FEDERICO ERRAZURIZ,0,1,0,1,0,0
-70.76228124228534,-33.4480924041616,2015,PUDAHUEL,GENERAL OSCAR BONILLA,FEDERICO ERRAZURIZ,0,1,0,1,0,0
-70.7626155054739,-33.48904746532141,2015,MAIPU,LA SINFONIA,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,0,1,0,0,0,1
-70.76162452199623,-33.45391837286269,2015,PUDAHUEL,LA TRAVESIA,,8767,0,0,0,0,0
-70.7620356322176,-33.501329183077274,2015,MAIPU,HERMANOS CARRERA,OHIGGINS,0,1,0,0,0,1
-70.76183004481784,-33.505525462674086,2015,MAIPU,LIBERTAD,HERMANOS CARRERA,0,1,0,0,0,1
-70.76018560297919,-33.427425735582204,2015,CERRO NAVIA,JOSE JOAQUIN PEREZ,,9053,0,0,0,1,0
-70.7603597316003,-33.442438335882706,2015,PUDAHUEL,SAN PABLO,,9015,0,0,0,1,0
-70.76033058892027,-33.45856300679097,2015,PUDAHUEL,ISLA GRANDE DE TIERRA DEL FUEGO,LAGUNA SUR,0,1,0,0,0,1
-70.75907446470848,-33.414996550160204,2015,CERRO NAVIA,DIAGONAL RENY,,1765,0,0,0,0,1
-70.76029810593053,-33.49632185670071,2015,MAIPU,MANUEL RODRIGUEZ,GENERAL BUERAS,0,1,0,0,0,1
-70.76001466471341,-33.507841836206595,2015,MAIPU,GENERAL ORDONEZ,MANUEL RODRIGUEZ,0,1,0,0,0,1
-70.75991094246665,-33.51175710622356,2015,MAIPU,CARMEN LUISA CORREA,MANUEL RODRIGUEZ,0,1,0,1,0,0
-70.75847392870104,-33.44440398065267,2015,PUDAHUEL,AURORA,RIVADAVIA,0,1,0,0,1,0
-70.75996680419183,-33.529395420771245,2015,MAIPU,CAMINO A MELIPILLA,LEOPOLDO INFANTE,0,1,1,0,0,0
-70.75730211942317,-33.417763175268085,2015,CERRO NAVIA,DIAGONAL RENY,,1694,0,0,1,0,0
-70.75746771301698,-33.431315003905816,2015,PUDAHUEL,SAN DANIEL,,8952,0,1,0,0,0
-70.75794170339293,-33.459074868219986,2015,PUDAHUEL,LAGUNA SUR,LITORAL,0,1,0,0,0,1
-70.75879255847249,-33.508093664041034,2015,MAIPU,MONUMENTO,,2079,0,0,0,0,2
-70.7588334276375,-33.51064516805108,2015,MAIPU,5 DE ABRIL,MONUMENTO,0,1,0,0,0,1
-70.75882376016577,-33.51069941312932,2015,MAIPU,5 DE ABRIL,,98,0,0,1,0,0
-70.75634281824608,-33.414449087921184,2015,CERRO NAVIA,LA CAPILLA,EL ARROYO,0,1,0,1,0,0
-70.75760729147584,-33.49525987055383,2015,MAIPU,LOS PAJARITOS,,3480,0,0,0,0,1
-70.75745804654531,-33.49852649862154,2015,MAIPU,ARGENTINA,LOS PAJARITOS,0,1,0,0,0,1
-70.75735559282963,-33.49612015025223,2015,MAIPU,LOS PAJARITOS,RAFAEL RIESCO BERNALES,0,1,0,0,1,1
-70.75735600584126,-33.50359605097037,2015,MAIPU,LOS PAJARITOS,CHILE,0,1,0,0,0,1
-70.75727743347147,-33.50130659929579,2015,MAIPU,LOS PAJARITOS,,2897,0,0,0,0,1
-70.75733025787947,-33.505517245008186,2015,MAIPU,LOS PAJARITOS,TRISTAN VALDES,0,1,1,0,0,2
-70.75732731789908,-33.50696918037712,2015,MAIPU,LOS PAJARITOS,MAIPU,0,1,0,0,0,1
-70.75735809584513,-33.5106210213611,2015,MAIPU,LOS PAJARITOS,5 DE ABRIL,0,1,0,1,0,3
