X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.79772733843556,-33.45600905789976,2014,PUDAHUEL,CAMINO LA FARFANA,,400,0,0,1,0,0
-70.79695907000827,-33.516373266597434,2014,MAIPU,EL CONQUISTADOR,,1660,0,0,0,1,0
-70.79504436997485,-33.51619170875684,2014,MAIPU,LAS TINAJAS,,2838,0,0,0,1,0
-70.79448803304409,-33.51412415649039,2014,MAIPU,LA GALAXIA,,1791,0,0,0,1,0
-70.79330343934555,-33.53211499499423,2014,MAIPU,4 PONIENTE,ALFREDO SILVA CARVALLO,0,1,0,0,0,1
-70.79138884441414,-33.505504653646895,2014,MAIPU,4 PONIENTE,CAMINO A RINCONADA,0,1,0,0,1,0
-70.79071515798842,-33.512344197423445,2014,MAIPU,4 PONIENTE,INCA DE ORO,0,1,0,0,1,0
-70.78813039874959,-33.5371790222324,2014,MAIPU,4 PONIENTE,PDTE GABRIEL GONZALEZ VIDELA,0,1,0,0,0,1
-70.78695303065433,-33.524725237839135,2014,MAIPU,NVA SAN MARTIN,LAS NACIONES,0,1,0,0,1,0
-70.78261403197487,-33.36575098666544,2014,QUILICURA,LO ECHEVERS,,1001,0,0,1,0,0
-70.78538118618421,-33.51840244767703,2014,MAIPU,PORTALES,RADON,0,1,0,0,0,1
-70.78438728285258,-33.515680461800095,2014,MAIPU,LAS TINAJAS,CHACARILLAS,0,1,0,0,0,1
-70.78056074580414,-33.50829011115426,2014,MAIPU,CAMINO A RINCONADA,,1688,0,0,0,1,1
-70.77908169628513,-33.44395619159099,2014,PUDAHUEL,AMERICO VESPUCIO,SAN PABLO,0,1,1,0,1,0
-70.777393037781,-33.42643412573265,2014,PUDAHUEL,JOSE JOAQUIN PEREZ,,1376,0,0,1,0,0
-70.77816606280871,-33.50630035213114,2014,MAIPU,3 PONIENTE,MAIPU,0,1,0,0,1,0
-70.77795228795183,-33.520755021235985,2014,MAIPU,3 PONIENTE,,900,0,0,1,0,0
-70.77717272270702,-33.532949986238464,2014,MAIPU,ALFREDO SILVA CARVALLO,SERGIO SILVA ACUNA,0,1,0,0,0,1
-70.77708100838342,-33.528882643215084,2014,MAIPU,3 PONIENTE,PDTE EDUARDO FREI MONTALVA,0,1,0,1,0,0
-70.77720094932972,-33.53477375676774,2014,MAIPU,RENE OLIVARES BECERRA,,1700,0,0,1,0,0
-70.77574883502062,-33.505528694123214,2014,MAIPU,EL OLIMPO,DEL COLECTOR PONIENTE,0,1,0,0,0,1
-70.77554592644539,-33.50934619388861,2014,MAIPU,CAMINO A RINCONADA,EL OLIMPO,0,1,0,0,1,0
-70.77532460017527,-33.50051979845344,2014,MAIPU,EL OLIMPO,EGEO,0,1,0,0,1,0
-70.7754980394762,-33.51195501978658,2014,MAIPU,EL OLIMPO,JOSE MANUEL BORGONO,0,1,0,0,1,0
