X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.92186470009568,-33.08877289984928,2016,TILTIL,EL ESPINO,,39,0,0.0,0.0,0.0,1.0
-70.91898790017132,-33.08912149955739,2016,TILTIL,BARROS ARANA,,10,0,0.0,0.0,0.0,2.0
-70.88170700027769,-33.2788676998843,2016,LAMPA,BAQUEDANO,,65,0,0.0,0.0,1.0,0.0
-70.87305554737549,-33.28578025695317,2016,LAMPA,PEDRO AGUIRRE CERDA,SGTO ALDEA,0,1,0.0,0.0,0.0,1.0
-70.87045770006267,-33.28281899989679,2016,LAMPA,PEDRO AGUIRRE CERDA,,1370,0,0.0,0.0,0.0,1.0
-70.86908650014169,-33.3843018999126,2016,PUDAHUEL,CAMINO LUIS CRUZ MARTINEZ,,800,0,0.0,0.0,0.0,1.0
-70.85619282284034,-33.40305243452208,2016,PUDAHUEL,CAMINO BERNARDO OHIGGINS,SIMON BOLIVAR,0,1,,,,
-70.81887949968899,-33.427292699798095,2016,PUDAHUEL,NVA 1,,17580,0,0.0,0.0,0.0,1.0
-70.81593999993089,-33.22432060001554,2016,LAMPA,ITALIA,,1,0,0.0,0.0,1.0,0.0
-70.81111289964048,-33.56603200037638,2016,MAIPU,CAMINO A MELIPILLA,,1500,0,0.0,1.0,0.0,0.0
-70.80992960946378,-33.226594777726646,2016,LAMPA,CHILE,URIBE,0,1,0.0,0.0,0.0,1.0
-70.79794916761983,-33.51171205576663,2016,MAIPU,EL CONQUISTADOR,SENADORA MARIA DE LA CRUZ,0,1,,,,
-70.797481696423,-33.5073007902991,2016,MAIPU,CAMINO A RINCONADA,EL CONQUISTADOR,0,1,0.0,0.0,0.0,2.0
-70.7971269210704,-33.513723108934194,2016,MAIPU,AGUA SANTA,EL CONQUISTADOR,0,1,0.0,0.0,0.0,1.0
-70.79690225153752,-33.519969974334686,2016,MAIPU,EL CONQUISTADOR,PORTALES,0,1,0.0,0.0,1.0,1.0
-70.79689644281643,-33.52054896686117,2016,MAIPU,EL CONQUISTADOR,CAMPANARIO,0,1,0.0,0.0,0.0,1.0
-70.79626792822216,-33.50682972541135,2016,MAIPU,CAMINO A RINCONADA,LA GALAXIA,0,1,0.0,0.0,0.0,2.0
-70.79441959388902,-33.519603292857546,2016,MAIPU,LA GALAXIA,PORTALES,0,1,0.0,1.0,0.0,1.0
-70.79422695281147,-33.51119863730714,2016,MAIPU,LA GALAXIA,LA CANDELARIA,0,1,0.0,0.0,1.0,0.0
-70.79396769984929,-33.12932380035294,2016,TILTIL,COQUIMBITO,,28,0,0.0,0.0,1.0,0.0
-70.79328950040997,-33.410632800263365,2016,PUDAHUEL,ARMANDO CORTINEZ,,0,1,0.0,0.0,0.0,2.0
-70.7919074573631,-33.52489681033938,2016,MAIPU,NVA SAN MARTIN,4 PONIENTE,0,1,0.0,0.0,0.0,1.0
-70.79149389962362,-33.55118900027197,2016,MAIPU,CAMINO A MELIPILLA,,18300,0,0.0,0.0,0.0,1.0
-70.79017609964711,-33.42119780003826,2016,PUDAHUEL,ARMANDO CORTINEZ ORIENTE,,0,1,0.0,1.0,0.0,0.0
-70.78981960029415,-33.50985799994659,2016,MAIPU,MANTOS BLANCOS,,2386,0,0.0,0.0,0.0,1.0
-70.78695302925877,-33.52472522598821,2016,MAIPU,LAS NACIONES,NVA SAN MARTIN,0,1,0.0,0.0,0.0,1.0
-70.78653415202933,-33.521985248020606,2016,MAIPU,LAS NACIONES,SUR,0,1,0.0,1.0,0.0,0.0
-70.78627706013805,-33.506190068216945,2016,MAIPU,CAMINO A RINCONADA,PANGAL,0,1,0.0,0.0,0.0,1.0
