X,Y,Anio,Comuna,Calle1,Calle2,Numero,Interseccion,Fallecidos,Graves,MenosGraves,Leves
-70.5151874,-33.3591183,2017,LO BARNECHEA,COMANDANTE MALBEC,,12871,0,0.0,0.0,0.0,1.0
-70.51348424508252,-33.36871533621449,2017,LO BARNECHEA,COSTANERA MONSENOR ESCRIVA DE BA,,0,1,,,,
-70.5132668,-33.35674250000002,2017,LO BARNECHEA,COMANDANTE MALBEC,,13210,0,0.0,0.0,0.0,1.0
-70.5113339,-33.37173079999999,2017,LAS CONDES,CAMINO SAN ANTONIO,,89,0,0.0,0.0,0.0,1.0
-70.51070159549332,-33.352946406776994,2017,LO BARNECHEA,EL GABINO,PADRE ALFREDO ARTEAGA BARROS,0,1,,,,
-70.5103527,-33.35242959999999,2017,LO BARNECHEA,ROBLES,PADRE ALFREDO ARTEAGA BARROS,0,1,,,,
-70.5102681,-33.3512103,2017,LO BARNECHEA,EL RODEO,CAMINO DEL HUINGANAL,0,1,,,,
-70.5098657,-33.3597164,2017,LO BARNECHEA,PADRE ALFREDO ARTEAGA BARROS,ROBLES,0,1,,,,
-70.50986421405257,-33.358633292579455,2017,LO BARNECHEA,PADRE ALFREDO ARTEAGA BARROS,4 V,0,1,,,,
-70.503298,-33.3508185,2017,LO BARNECHEA,CAMINO NIDO DE AGUILAS,LO BARNECHEA,0,1,,,,
-70.5028776,-33.3622429,2017,LO BARNECHEA,RAUL LABBE,,14089,0,0.0,0.0,0.0,1.0
-70.50285438107515,-33.35823029429053,2017,LO BARNECHEA,EL ESFUERZO,LOS QUINCHEROS,0,1,,,,
-70.5022456,-33.367797,2017,LO BARNECHEA,LAS CONDES,LAS BRUMAS,0,1,,,,
-70.5000057,-33.3579365,2017,LO BARNECHEA,CAMINO CIRCUNVALACION SUR,SENDA 17 SUR,0,1,,,,
-70.4983895,-33.3671423,2017,LAS CONDES,CAMINO A FARELLONES,,14321,0,0.0,0.0,0.0,1.0
-70.65055312275776,-33.48769990958787,2017,SAN MIGUEL,GRAN AVENIDA JOSE MIGUEL CARRERA,,0,1,,,,
-70.65047725865533,-33.39133181017397,2017,RECOLETA,RAUL MONTT,MANUEL RODRIGUEZ,0,1,,,,
-70.6503731,-33.41989669999999,2017,INDEPENDENCIA,LA PAZ,,1003,0,0.0,0.0,0.0,1.0
-70.65023458882399,-33.42890404174592,2017,RECOLETA,GENERAL DE LA LASTRA,SALAS,0,1,,,,
-70.65021705051623,-33.51150010338223,2017,SAN MIGUEL,MIGUEL LUIS CERDA,SANTA FE,0,1,,,,
-70.65016575980428,-33.530054381088064,2017,LA CISTERNA,MARIA VIAL,ARGENTINA,0,1,0.0,0.0,0.0,
-70.65013332197444,-33.48616646744898,2017,SAN MIGUEL,ALCALDE PEDRO ALARCON,GR,0,1,,,,
-70.6501037,-33.44499240000002,2017,SANTIAGO,ARTURO PRAT,,48,0,0.0,0.0,0.0,1.0
-70.65009997270242,-33.46995738131442,2017,SANTIAGO,NATANIEL COX,NUBLE,0,1,0.0,0.0,,
-70.64992057563018,-33.43717018309228,2017,SANTIAGO,MONJITAS,21 DE MAYO,0,1,0.0,,,
-70.6498863,-33.4277633,2017,RECOLETA,SALAS,,731,0,1.0,0.0,0.0,0.0
-70.6498645,-33.44295619999998,2017,SANTIAGO,LIBERTADOR BERNARDO OHIGGINS,,949,0,,,,
-70.6498089,-33.5608449,2017,LA PINTANA,JOSE DE LA RIVERA,,1716,0,0.0,1.0,0.0,0.0
-70.649717942081,-33.43834525355919,2017,SANTIAGO,MERCED,ESTADO,0,1,0.0,1.0,0.0,0.0
-70.64964082916106,-33.48435729584573,2017,SAN MIGUEL,GRAN AVENIDA JOSE MI,,0,1,,,,
-70.64959582874572,-33.58674137543683,2017,LA PINTANA,LO BLANCO,JOHN KENNEDY,0,1,,,,
-70.64955805198804,-33.47335618406335,2017,SANTIAGO,NATANIEL COX,FRANKLIN,0,1,,,,
-70.6493862,-33.431599200000015,2017,RECOLETA,ARTESANOS,LA PAZ,0,1,0.0,2.0,,
-70.6493386,-33.4331647,2017,SANTIAGO,CARDENAL JOSE MARIA CARO,PRESIDENTE BALMACEDA,0,1,,,,
