X,Y,FID,ICOUNT,Comuna,Año,Clase_Acci,Cód_Comun,Cód_Regi,Región,Zona,Cód_Ubica,Ubicación,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Número,Intersecci,Direcci_1,Fallecidos,Graves,Menos_Grav,Leves
-70.791907457363095,-33.524896810339378,22,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131192375,NVA SAN MARTIN,131190024,4 PONIENTE, ,4 PONIENTE - NVA SAN MARTIN,NVA SAN MARTIN @ 4 PONIENTE,0,0,0,1
-70.791493899623617,-33.551189000271968,23,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190392,CAMINO A MELIPILLA, , ,18300,- CAMINO A MELIPILLA,18300 CAMINO A MELIPILLA,0,0,0,1
-70.790176099647113,-33.421197800038257,24,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240067,ARMANDO CORTINEZ ORIENTE, , ,0,- ARMANDO CORTINEZ ORIENTE,0 ARMANDO CORTINEZ ORIENTE,0,1,0,0
-70.789819600294152,-33.50985799994659,25,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192172,MANTOS BLANCOS, , ,2386,- MANTOS BLANCOS,2386 MANTOS BLANCOS,0,0,0,1
-70.786953029258768,-33.524725225988213,26,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191757,LAS NACIONES,131192375,NVA SAN MARTIN, ,LAS NACIONES - NVA SAN MARTIN,LAS NACIONES @ NVA SAN MARTIN,0,0,0,1
-70.786534152029333,-33.521985248020606,27,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191757,LAS NACIONES,131192995,SUR, ,LAS NACIONES - SUR,LAS NACIONES @ SUR,0,1,0,0
-70.786277060138048,-33.506190068216945,28,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA,131192457,PANGAL, ,CAMINO A RINCONADA - PANGAL,CAMINO A RINCONADA @ PANGAL,0,0,0,1
-70.785837463428038,-33.561722854725815,29,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192467,PARQUE CENTRAL PONIENTE,131191696,LAGO DE LUGANO, ,LAGO DE LUGANO - PARQUE CENTRAL PONIENTE,PARQUE CENTRAL PONIENTE @ LAGO DE LUG
-70.784653728986257,-33.51120824116726,30,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191757,LAS NACIONES,131192157,MALAMBO, ,LAS NACIONES - MALAMBO,LAS NACIONES @ MALAMBO,0,0,1,0
-70.784316053343048,-33.506903849333028,31,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA,131191757,LAS NACIONES, ,CAMINO A RINCONADA - LAS NACIONES,CAMINO A RINCONADA @ LAS NACIONES,0,0,0,1
-70.782535009882622,-33.443809581946475,32,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,14,CRUCE CON SEÑAL PARE,131241232,SAN PABLO,131240039,AMERICO VESPUCIO, ,AMERICO VESPUCIO - SAN PABLO,SAN PABLO @ AMERICO VESPUCIO,1,0,0,0
-70.781750456618113,-33.457626485273927,33,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131240642,LAGUNA SUR, , ,8957,- LAGUNA SUR,8957 LAGUNA SUR,0,0,0,1
-70.781355799930054,-33.562237900058896,34,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191484,JORGE GUERRA, , ,18460,- JORGE GUERRA,18460 JORGE GUERRA,0,0,0,1
-70.780510199785738,-33.42446700025171,35,3,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240039,AMERICO VESPUCIO, , ,18800,- AMERICO VESPUCIO,18800 AMERICO VESPUCIO,2,1,0,1
-70.780365999790888,-33.446336300080013,36,1,PUDAHUEL,2016,1,13124,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131240952,OCEANICA, , ,9680,- OCEANICA,9680 OCEANICA,0,1,0,0
-70.779333800214545,-33.520571299725546,37,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190018,3 PONIENTE, , ,900,- 3 PONIENTE,900 3 PONIENTE,0,1,0,0
-70.779275916250356,-33.50856320372872,38,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131190394,CAMINO A RINCONADA,131190018,3 PONIENTE, ,3 PONIENTE - CAMINO A RINCONADA,CAMINO A RINCONADA @ 3 PONIENTE,0,1,0,0
-70.778885552026452,-33.533287467042847,39,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192511,PDTE JOSE MANUEL BALMACEDA,131190093,ALFREDO SILVA CARVALLO, ,ALFREDO SILVA CARVALLO - PDTE JOSE MANUEL BALMACEDA,PDTE JOSE MANUE
-70.778534646456592,-33.52599526207154,40,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191229,GERMAN GARCES,131190018,3 PONIENTE, ,3 PONIENTE - GERMAN GARCES,GERMAN GARCES @ 3 PONIENTE,0,0,0,1
-70.777760000123749,-33.497499299652816,41,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192279,MINERVA, , ,3294,- MINERVA,3294 MINERVA,0,1,0,0
-70.777621367831728,-33.490923980257321,42,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,26,OTROS NO CONSIDERADOS,131190976,EL ROSAL,131191384,ING EDUARDO DOMINGUEZ, ,EL ROSAL - ING EDUARDO DOMINGUEZ,EL ROSAL @ ING EDUARDO DOMINGUEZ,0,0,0,1
-70.776917454077079,-33.518163336168868,43,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131192605,PORTALES,131191979,LOS FAISANES, ,LOS FAISANES - PORTALES,PORTALES @ LOS FAISANES,0,1,0,0
-70.776524399980929,-33.537573699766249,44,1,MAIPU,2016,1,13119,13,REGION METROPOLITANA,URBANA,1,TRAMO DE VIA RECTA,131191240,GLORIAS NAVALES, , ,1853,- GLORIAS NAVALES,1853 GLORIAS NAVALES,0,0,0,1
