X,Y,FID,ICOUNT,Año,Cód_Comuna,Comuna,Cód_Región,Región,Calle_Uno,Calle_Dos,Número,Dirección,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.701105164072032,-33.596991006229921,32,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN JOSE,JOSE JOAQUIN PEREZ,0,SAN JOSE / JOSE JOAQUIN PEREZ,0,0,0,1,1
-70.700895499727494,-33.595390200397397,33,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,COVADONGA, ,234,COVADONGA 234,0,0,1,0,1
-70.700394502704114,-33.59087758583189,34,3,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,BULNES,COLON SUR,0,BULNES / COLON SUR,0,0,0,4,3
-70.6993095192189,-33.595717101263169,35,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,NUEVA BARROS ARANA,COVADONGA,0,NUEVA BARROS ARANA / COVADONGA,0,0,0,1,1
-70.698870660852265,-33.594442578462164,36,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,ARTURO PRAT,BARROS ARANA,0,ARTURO PRAT / BARROS ARANA,0,1,0,0,1
-70.698034199618576,-33.597535816424745,37,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,PORTALES, ,6,PORTALES 6,0,0,0,1,1
-70.695175546214443,-33.598623506869345,38,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN JOSE,SAN MARTIN,0,SAN JOSE / SAN MARTIN,0,0,0,1,1
-70.695147824612377,-33.591923528847765,39,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SERGIO FUENTES,COLON,0,SERGIO FUENTES / COLON,0,0,0,1,1
-70.694096120539484,-33.593624297922993,40,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,SAN MARTIN DE PORRES,LIBERTADOR BERNARDO OHIGGINS,0,SAN MARTIN DE PORRES / LIBERTADOR BERNARDO OHIGGINS,0,0,0,1,1
-70.693498669428038,-33.597014224027198,41,1,2013,13401,SAN BERNARDO,13,REGION METROPOLITANA,JOSE BESA,ANTONIO VARAS,0,JOSE BESA / ANTONIO VARAS,0,0,0,1,1
