X,Y,FID,Intersecci,Comuna,Ciudad,Pais,Año,Clase,Cód_Comun,Región,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Calle,Cód_Cal_1,Calle_Uno,Calle_Dos,Número,PiSANTAsde,PiSANTAs_1,Cód_Calza,Calzada,Tipo_Calza,Fallecidos,Graves,Menos_Grav,Leves,Accidentes
-70.542220020559611,-33.473719422554808,2001,CONSISTORIAL @ TAGUA TAGUA,PEÑALOLEN, , ,2017,1,13122,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,131220330,131221294,CONSISTORIAL,TAGUA TAGUA, ,1,1,2,BIDIRECCIONAL,C
-70.5421974,-33.4500188,2002,8622 VALENZUELA LLANOS,LA REINA, , ,2017,1,13113,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131130469,0,VALENZUELA LLANOS, ,8622,2,2,3,BIDIRECCIONAL CON BANDEJON,ASFALTO,0,0,0,1,1
-70.5417718,-33.47686,2003,GRECIA / LOS MOLINEROS,PEÑALOLEN,SANTIAGO,CHILE,2017,1,13122,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131220495,131220782,GRECIA,LOS MOLINEROS, ,2,2,3,BIDIRECCIONAL CON BANDEJON,MIXTO,0,1,1,2,
-70.5416367,-33.4764063,2004,8735 GRECIA,PEÑALOLEN, , ,2017,1,13122,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131220495,0,GRECIA, ,8735,1,1,2,BIDIRECCIONAL,CONCRETO,0,0,0,1,1
-70.5415477,-33.46281010000002,2005,DIP LAURA RODRIGUEZ / JOSE ARRIETA,PEÑALOLEN,SANTIAGO,CHILE,2017,1,13122,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131220528,131220364,JOSE ARRIETA,DIPUTADA LAURA RODRIGUE
-70.541184701598908,-33.416710882114529,2006,CRISTOBAL COLON @ VISVIRI,LAS CONDES, , ,2017,1,13114,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,131140288,131141254,CRISTOBAL COLON,VISVIRI, ,2, ,1,UNIDIRECCIONAL,CONCRETO
-70.540981370089426,-33.473960285556011,2007,PASAJE 5 @ TAGUA TAGUA,PEÑALOLEN, , ,2017,1,13122,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,16,CRUCE SIN SEÑALIZACION,131221132,131221294,PASAJE 5,TAGUA TAGUA, ,1, ,1,UNIDIRECCIONAL,ASFALTO,0,0,0,
-70.540955651293544,-33.458448940774566,2008,DIPUTADA LAURA RODRIGUEZ @ TALINAY,LA REINA, , ,2017,1,13113,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,131130113,131130457,DIPUTADA LAURA RODRIGUEZ,TALINAY, ,1,1,
-70.5409196,-33.5924426,2009,SAN CARLOS / TOBALABA,PUENTE ALTO,SANTIAGO,CHILE,2017,1,13201,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,132012561,132012710,SAN CARLOS,TOBALABA, ,2,2,3,BIDIRECCIONAL CON BANDEJON,CONCRETO
-70.5407531,-33.4404738,2010,8700 PRINCIPE DE GALES,LA REINA, , ,2017,1,13113,REGION METROPOLITANA,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,131130383,0,PRINCIPE DE GALES, ,8700,2,2,3,BIDIRECCIONAL CON BANDEJON,ASFALTO,0,0,0,1,1
